x,y,theta
-0.0044888483431421156,0.007531592946838965,-0.068071213374113926
0.045422902128226618,0.0045266156474284948,-0.052792579987737731
0.095373385430637697,0.0022547047429436686,-0.038072385357870407
0.14535195815966812,0.00072023881731905358,-0.023867988011962177
0.19534682268406139,-0.00013191327967802775,-0.011539904860236733
0.24534804147899927,-0.00043375769671318644,-0.0020991186958037476
0.29535008864591572,-0.00034183231322211142,0.0044759437266382969
0.3453509558378749,1.3852709614034673e-05,0.0088669812391509954
0.39535026818533914,0.00054489064183244041,0.01179006202195774
0.44534820149707821,0.0011928810689673468,0.01368989148496774
0.49534513507351335,0.0019138950427866422,0.014758423605981494
0.54534156948472257,0.0026687327053471358,0.015053743710039643
0.59533806856290628,0.0034192767521945581,0.014590480517569631
0.64533518084470876,0.00412779108106012,0.013381939924924291
0.69533334768598032,0.0047574874517633415,0.011465954247394794
0.74533280720951012,0.0052744095381666778,0.0089398804918089606
0.79533351626543458,0.0056515008251036202,0.0060109544358769793
0.84533514494491868,0.0058755262735572869,0.0030471698397210316
0.89533721040230496,0.0059562300089003742,0.00059756826253863334
0.94533933738214426,0.0059352856121916899,-0.00064581448780521504
0.99534145060939605,0.0058916458127538348,5.6910610566553007e-05
1.0453435576232812,0.0059409769134309894,0.0033778311363431858
1.0953448510519368,0.0062294416972312524,0.0098316289338462141
1.1453421363512502,0.0069241575119833761,0.019732997400576498
1.1953278764706172,0.0082026626028452697,0.033186002200366126
1.2452883191692932,0.010242189905914108,0.05007885561952987
1.2952022758291855,0.013208443580543522,0.070078914564519854
1.3450411224631371,0.017244224297077837,0.092650497697814124
1.3947703055533187,0.022459958272088604,0.11711969162263877
1.4443520188527565,0.02892896137701002,0.14278113991730651
1.493748142125741,0.036688951177862555,0.16901104920791418
1.5429224514028876,0.045748911891118162,0.19535080489470141
1.5918414741394864,0.056099102662618666,0.22155691464303653
1.640473654567526,0.067722784880253406,0.24764188435443377
1.6887864280422926,0.080609847030136322,0.27392503332568929
1.7367407254836371,0.094772717459426559,0.30107651878187869
1.7842828394090657,0.1102630271927713,0.33011035723257914
1.8313343850348056,0.1271850624506746,0.36230032603165929
1.8777814572677238,0.14570193607109322,0.39910428182690183
1.9234610149549838,0.16603834344727689,0.44181328268241415
1.9681584495944735,0.18845003569193428,0.49146800062739371
2.0115954542065966,0.21321452980689909,0.54882738742209014
2.0534316239084052,0.2405939828550214,0.61401008387620026
